MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselType,Status,TrackID,Loitering
311000813,2021-10-25 14:59:55,49.27135,-124.0027,13.0,299.6,300,70.0,0,5,2
311000813,2021-10-25 15:02:25,49.27583,-124.0146,13.0,299.9,301,70.0,0,5,1
311000813,2021-10-25 15:04:55,49.28026,-124.0265,13.0,299.8,301,70.0,0,5,1
311000813,2021-10-25 15:07:25,49.28472,-124.0385,13.1,299.6,301,70.0,0,5,1
311000813,2021-10-25 15:09:55,49.28918,-124.0505,13.2,299.5,301,70.0,0,5,1
311000813,2021-10-25 15:12:25,49.29369,-124.0626,13.3,300.2,302,70.0,0,5,1
311000813,2021-10-25 15:14:55,49.29834,-124.0748,13.4,300.2,301,70.0,0,5,1
311000813,2021-10-25 15:17:25,49.30298,-124.0871,13.5,300.4,301,70.0,0,5,1
311000813,2021-10-25 15:19:55,49.30769,-124.0996,13.6,300.3,301,70.0,0,5,1
311000813,2021-10-25 15:22:25,49.3124,-124.1122,13.7,300.2,301,70.0,0,5,1
311000813,2021-10-25 15:24:55,49.31722,-124.1249,13.8,300.3,301,70.0,0,5,1
311000813,2021-10-25 15:27:25,49.32205,-124.1377,13.9,300.4,301,70.0,0,5,1
311000813,2021-10-25 15:29:55,49.32687,-124.1504,14.1,300.5,302,70.0,0,5,1
311000813,2021-10-25 15:32:25,49.3317,-124.1632,14.2,300.6,302,70.0,0,5,1
311000813,2021-10-25 15:34:55,49.33689,-124.176,14.3,302.3,306,70.0,0,5,1
311000813,2021-10-25 15:37:25,49.3432,-124.188,14.5,310.3,312,70.0,0,5,1
311000813,2021-10-25 15:39:55,49.34979,-124.1997,14.5,310.6,312,70.0,0,5,1
311000813,2021-10-25 15:42:25,49.35639,-124.2114,14.4,311.0,312,70.0,0,5,1
311000813,2021-10-25 15:44:55,49.36293,-124.2231,14.4,311.2,312,70.0,0,5,1
311000813,2021-10-25 15:47:25,49.36936,-124.2346,14.3,311.3,311,70.0,0,5,1
311000813,2021-10-25 15:49:55,49.37433,-124.2437,14.1,311.5,311,70.0,0,5,1
311000813,2021-10-25 15:52:25,49.37161,-124.2402,13.6,313.3,313,70.0,0,5,1
311000813,2021-10-25 15:54:55,49.3689,-124.2366,13.0,316.9,317,70.0,0,5,1
311000813,2021-10-25 15:57:25,49.36619,-124.2331,12.5,327.7,327,70.0,0,5,1
311000813,2021-10-25 15:59:55,49.36348,-124.2295,11.9,48.1,48,70.0,0,5,1
311000813,2021-10-25 16:02:25,49.36076,-124.226,11.4,107.5,108,70.0,0,5,1
311000813,2021-10-25 16:04:55,49.35805,-124.2224,10.8,116.2,116,70.0,0,5,1
311000813,2021-10-25 16:07:25,49.35534,-124.2189,10.3,119.4,119,70.0,0,5,1
311000813,2021-10-25 16:09:55,49.35263,-124.2153,9.7,121.1,121,70.0,0,5,1
311000813,2021-10-25 16:12:25,49.34914,-124.2068,9.5,121.6,122,70.0,0,5,1
311000813,2021-10-25 16:14:55,49.34565,-124.1982,9.4,121.8,122,70.0,0,5,1
311000813,2021-10-25 16:17:25,49.34218,-124.1899,9.3,121.0,120,70.0,0,5,1
311000813,2021-10-25 16:19:55,49.33882,-124.1814,9.3,119.9,119,70.0,0,5,1
311000813,2021-10-25 16:22:25,49.33564,-124.1727,9.3,119.7,119,70.0,0,5,1
311000813,2021-10-25 16:24:55,49.33236,-124.1642,9.3,121.8,119,70.0,0,5,1
311000813,2021-10-25 16:27:25,49.32908,-124.1557,9.4,120.8,115,70.0,0,5,1
311000813,2021-10-25 16:29:55,49.32593,-124.147,9.4,118.9,116,70.0,0,5,1
311000813,2021-10-25 16:32:25,49.32255,-124.1384,9.4,120.8,118,70.0,0,5,1
311000813,2021-10-25 16:34:55,49.31921,-124.1296,9.6,120.1,118,70.0,0,5,1
311000813,2021-10-25 16:37:25,49.31573,-124.1206,10.0,120.8,118,70.0,0,5,1
311000813,2021-10-25 16:39:55,49.31216,-124.1114,10.2,121.2,117,70.0,0,5,1
311000813,2021-10-25 16:42:25,49.3085,-124.102,10.3,120.5,118,70.0,0,5,1
311000813,2021-10-25 16:44:55,49.3049,-124.0925,10.4,117.4,114,70.0,0,5,1
311000813,2021-10-25 16:47:25,49.30157,-124.0826,10.6,117.4,115,70.0,0,5,1
311000813,2021-10-25 16:49:55,49.29818,-124.0726,10.7,117.6,114,70.0,0,5,1
311000813,2021-10-25 16:52:25,49.29479,-124.0624,10.7,117.4,115,70.0,0,5,1
311000813,2021-10-25 16:54:55,49.2913,-124.0522,10.9,118.8,117,70.0,0,5,1
311000813,2021-10-25 16:57:25,49.28766,-124.0421,10.9,118.5,117,70.0,0,5,1
311000813,2021-10-25 16:59:55,49.28405,-124.0319,10.9,117.9,116,70.0,0,5,1
311000813,2021-10-25 17:02:25,49.28046,-124.0216,10.9,117.5,115,70.0,0,5,1
311000813,2021-10-25 17:04:55,49.2769,-124.0113,11.0,117.8,116,70.0,0,5,-1
